CreateRemoteThread|Trojan
NtUnmapViewOfSection|Trojan
xmrig|Trojan
B3_Pr3p@r3d_F0r_Bl@ckSh@rd$_By_D@rkN0v@|Trojan
GetAsyncKeyState|Keylogger
recoverPass|Trojan
NoSleep|Trojan
GetWindowText|Keylogger
SetWindowsHookEx|Keylogger
GetForeGroundWindow|Keylogger
MD5CryptoServiceProvider|FileCrypter
EncryptFile|FileCrypter
RijandaelManaged|FileCrypter
GrabInfo|Backdoor
TcpListener|Backdoor
persistence|Backdoor
tcpdos|Backdoor
Exploit|Worm
EternalBlue|Worm
Slowdown|Worm
disablefirewall|Worm
wnry|WannaCry
Ransom.png|Argos
enc.Encryptfile|Argos
computerdefaults|UACBypass
1996-2018 VideoLAN and VLC Author|NjRat
#7@Qhq\1@NWgyxeH\_bpdgc%.2d/%.2d/%d %.2d:%.2d:%.2d|NetwireRat
Chromium|Stealer
leveldb|Stealer
*.ldb|Stealer
https://discord.com/api/webhooks/|Stealer
.ROBLOSECURITY|Stealer
